Name,Oracle,Trigger 1,Trigger 2,Trigger 3,Trigger 4,Trigger 5
Thought Nibbler,Flying.    Your maximum hand size is reduced by two.,,,,,
Thought Prison,"Imprint - When Thought Prison enters the battlefield, you may have target player reveal his or her hand.  If you do, choose a nonland card from it and exile that card.    Whenever a player casts a spell that shares a color or converted mana cost with the exiled card, Thought Prison deals 2 damage to that player.",Optional,Mandatory,,,
Thought Reflection,"If you would draw a card, draw two cards instead.",,,,,
Thought Scour,Target player puts the top two cards of his or her library into his or her graveyard.    Draw a card.,,,,,
Thoughtbind,Counter target spell with converted mana cost 4 or less.,,,,,
Thoughtbind Primoc,"Flying.    At the beginning of your upkeep, if a player controls more Wizards than each other player, the player who controls the most Wizards gains control of Thoughtbound Primoc.",,,,,
Thoughtcast,Affinity for artifacts.    Draw two cards.,,,,,
Thoughtcutter Agent,"UB, T: Target player loses 1 life and reveals his or her hand.",,,,,
Thoughtlace,Target spell or permanent becomes blue.,,,,,
Thoughtleech,"Whenever an Island an opponent controls becomes tapped, you may gain 1 life.",,,,,
Thoughtpicker Witch,"1, Sacrifice a creature: Look at the top two cards of target opponent's library, then exile one of them.",,,,,
Thoughts of Ruin,Each player sacrifices a land for each card in your hand.,,,,,
Thoughtseize,Target player reveals his or her hand.  You choose a nonland card from it.  That player discards that card.  You lose 2 life.,,,,,
Thoughtweft Gambit,Tap all creatures your opponents control and untap all creatures you control.,,,,,
Thoughtweft Trio,"First strike, vigilance, champion a Kithkin.    Thoughtweft Trio can block any number of creatures.",Mandatory,Lapsing,,,
Thousand-Legged Kami,Soulshift 7,Optional,,,,
Thousand-Year Elixir,"You may activate abilities of creatures you control as though those creatures had haste.    1, T: Untap target creature.",,,,,
Thraben Doomsayer,"T: Put a 1/1 white Human creature token onto the battlefield.    Fateful hour - As long as you have 5 or less life, other creatures you control get +2/+2.",,,,,
Thraben Heretic,T: Exile target creature card from a graveyard.,,,,,
Thraben Purebloods,,,,,,
Thraben Sentry,"Vigilance.    Whenever another creature you control dies, you may transform Thraben Sentry. // [Thraben Militia] [Creature - Human Soldier] Trample [5/4]",Optional,,,,
Thraben Valiant,Vigilance,,,,,
Thran Dynamo,T: Add 3 to your mana pool.,,,,,
Thran Forge,"2: Until end of turn, target nonartifact creature gets +1/+0 and becomes an artifact in addition to its other types.",,,,,
Thran Foundry,"1, T, Exile Thran Foundry: Target player shuffles his or her graveyard into his or her library.",,,,,
Thran Golem,"As long as Thran Golem is enchanted, it gets +2/+2 and has flying, first strike, and trample.",,,,,
Thran Lens,All permanents are colorless.,,,,,
Thran Quarry,"At the beginning of the end step, if you control no creatures, sacrifice Thran Quarry.    T: Add one mana of any color to your mana pool.",,,,,
Thran Tome,"5, T: Reveal the top three cards of your library.  Target opponent chooses one of those cards.  Put that card into your graveyard, then draw two cards.",,,,,
Thran Turbine,"At the beginning of your upkeep, you may add 1 or 2 to your mana pool.  You can't spend this mana to cast spells.",,,,,
Thran War Machine,Echo 4.    Thran War Machine attacks each turn if able.,,,,,
Thran Weaponry,"Echo 4.    You may choose not to untap Thran Weaponry during your untap step.    2, T: All creatures get +2/+2 for as long as Thran Weaponry remains tapped.",,,,,
Thrashing Mudspawn,"Whenever Thrashing Mudspawn is dealt damage, you lose that much life.    Morph 1BB",,,,,
Thrashing Wumpus,B: Thrashing Wumpus deals 1 damage to each creature and each player.,,,,,
Thraximundar,"Haste.    Whenever Thraximundar attacks, defending player sacrifices a creature.    Whenever a player sacrifices a creature, you may put a +1/+1 counter on Thraximundar.",Lapsing,Optional,,,
Threads of Disloyalty,Enchant creature with converted mana cost 2 or less.    You control enchanted creature.,,,,,
Threaten,Untap target creature and gain control of it until end of turn.  That creature gains haste until end of turn.,,,,,
Three Dreams,"Search your library for up to three Aura cards with different names, reveal them, and put them into your hand.  Then shuffle your library.",,,,,
Three Tragedies,Target player discards three cards.,,,,,
Three Visits,Search your library for a Forest card and put that card onto the battlefield.  Then shuffle your library.,,,,,
Three Wishes,"Exile the top three cards of your library face down.  You may look at those cards for as long as they remain exiled.  Until your next turn, you may play those cards.  At the beginning of your next upkeep, put any of those cards you didn't play into your graveyard.",,,,,
Thresher Beast,"Whenever Thresher Beast becomes blocked, defending player sacrifices a land.",,,,,
Thrill of the Hunt,Target creature gets +1/+2 until end of turn.    Flashback W,,,,,
"Thriss, Nantuko Primus","G, T: Target creature gets +5/+5 until end of turn.",,,,,
Thrive,Put a +1/+1 counter on each of X target creatures.,,,,,
Throat Slitter,"Ninjutsu 2B.    Whenever Throat Slitter deals combat damage to a player, destroy target nonblack creature that player controls.",Lapsing,,,,
Throne of Bone,"Whenever a player casts a black spell, you may pay 1.  If you do, you gain 1 life.",Optional,,,,
Throne of Empires,"1, T: Put a 1/1 white Soldier creature token onto the battlefield.  Put five of those tokens onto the battlefield instead if you control artifacts named Crown of Empires and Scepter of Empires.",,,,,
Throne of Geth,"T, Sacrifice an artifact: Proliferate.",,,,,
Through the Breach,You may put a creature card from your hand onto the battlefield.  That creature gains haste.  Sacrifice that creature at the beginning of the next end step.    Splice onto Arcane 2RR,Mandatory,,,,
Thrull Champion,Thrull creatures get +1/+1.    T: Gain control of target Thrull for as long as you control Thrull Champion.,,,,,
Thrull Retainer,Enchant creature.    Enchanted creature gets +1/+1.    Sacrifice Thrull Retainer: Regenerate enchanted creature.,,,,,
Thrull Surgeon,"1B, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it.  That player discards that card.  Activate this ability only any time you could cast a sorcery.",,,,,
Thrull Wizard,1B: Counter target black spell unless that spell's controller pays B or 3.,,,,,
Thrumming Stone,Spells you cast have ripple 4.,Mandatory,,,,
Thrummingbird,"Flying.    Whenever Thrummingbird deals combat damage to a player, proliferate.",Optional,,,,
"Thrun, the Last Troll","Thrun, the Last Troll can't be countered.    Hexproof.    1G: Regenerate Thrun.",,,,,
Thumbscrews,"At the beginning of your upkeep, if you have five or more cards in hand, Thumbscrews deals 1 damage to target opponent.",,,,,
Thunder Dragon,"Flying.    When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.",,,,,
Thunder of Hooves,"Thunder of Hooves deals X damage to each creature without flying and each player, where X is the number of Beasts on the battlefield.",,,,,
Thunder Spirit,"Flying, first strike",,,,,
Thunder Strike,Target creature gets +2/+0 and gains first strike until end of turn.,,,,,
Thunder Totem,T: Add W to your mana pool.    1WW: Thunder Totem becomes a 2/2 white Spirit artifact creature with flying and first strike until end of turn.,,,,,
Thunder Wall,"Defender, flying.    U: Thunder Wall gets +1/+1 until end of turn.",,,,,
Thunderblade Charge,"Thunderblade Charge deals 3 damage to target creature or player.    Whenever one or more creatures you control deal combat damage to a player, if Thunderblade Charge is in your graveyard, you may pay 2RRR.  If you do, you may cast it without paying its mana cost.",Optional,,,,
Thunderblust,Haste.    Thunderblust has trample as long as it has a -1/-1 counter on it.    Persist,Lapsing,,,,
Thunderbolt,Choose one - Thunderbolt deals 3 damage to target player; or Thunderbolt deals 4 damage to target creature with flying.,,,,,
Thunderclap,You may sacrifice a Mountain rather than pay Thunderclap's mana cost.    Thunderclap deals 3 damage to target creature.,,,,,
Thundercloud Elemental,Flying.    3U: Tap all creatures with toughness 2 or less.    3U: All other creatures lose flying until end of turn.,,,,,
Thundercloud Shaman,"When Thundercloud Shaman enters the battlefield, it deals damage equal to the number of Giants you control to each non-Giant creature.",Mandatory,,,,
Thunderheads,Replicate 2U.    Put a 3/3 blue Weird creature token with defender and flying onto the battlefield.  Exile it at the beginning of the next end step.,Optional,Mandatory,,,
Thundering Giant,Haste,,,,,
Thundering Tanadon,Trample,,,,,
Thundering Wurm,"When Thundering Wurm enters the battlefield, sacrifice it unless you discard a card land card.",,,,,
Thundermare,"Haste.    When Thundermare enters the battlefield, tap all other creatures.",Mandatory,,,,
Thunderous Wrath,Thunderous Wrath deals 5 damage to target creature or player.    Miracle R,Optional,,,,
Thunderscape Apprentice,"B, T: Target player loses 1 life.    G, T: Target creature gets +1/+1 until end of turn.",,,,,
Thunderscape Battlemage,"Kicker 1B and/or G.    When Thunderscape Battlemage enters the battlefield, if it was kicked with its 1B kicker, target player discards two cards.    When Thunderscape Battlemage enters the battlefield, if it was kicked with its G kicker, destroy target enchantment.",,,,,
Thunderscape Familiar,First strike.    Black spells and green spells you cast cost 1 less to cast.,,,,,
Thunderscape Master,"BB, T: Target player loses 2 life and you gain 2 life.    GG, T: Creatures you control get +2/+2 until end of turn.",,,,,
Thundersong Trumpeter,T: Target creature can't attack or block this turn.,,,,,
Thunderstaff,"As long as Thunderstaff is untapped, if a creature would deal combat damage to you, prevent 1 of that damage.    2, T: Attacking creatures get +1/+0 until end of turn.",,,,,
Thunder-Thrash Elder,Devour 3,,,,,
Thwart,You may return three Islands you control to their owner's hand rather than pay Thwart's mana cost.    Counter target spell.,,,,,
"Tibalt, the Fiend-Blooded","+1: Draw a card, then discard a card at random.    -4: Tibalt, the Fiend-Blooded deals damage equal to the number of cards in target player's hand to that player.    -6: Gain control of all creatures until end of turn.  Untap them.  They gain haste until ",,,,,
Tibor and Lumia,"Whenever you cast a blue spell, target creature gains flying until end of turn.    Whenever you cast a red spell, Tibor and Lumia deals 1 damage to each creature without flying.",Lapsing,Mandatory,,,
Ticking Gnomes,Echo 3.    Sacrifice Ticking Gnomes: Ticking Gnomes deals 1 damage to target creature or player.,,,,,
Tidal Bore,You may return an Island you control to its owner's hand rather than pay Tidal Bore's mana cost.    You may tap or untap target creature.,,,,,
Tidal Control,Cumulative upkeep 2.    Pay 2 life or 2: Counter target red or green spell.  Any player may activate this ability.,,,,,
Tidal Courier,"When Tidal Courier enters the battlefield, reveal the top four cards of your library.  Put all Merfolk cards revealed this way into your hand and the rest on the bottom of your library in any order.    3U: Tidal Courier gains flying until end of turn.",,,,,
Tidal Flats,"UU: For each attacking creature without flying, its controller may pay 1.  If he or she doesn't, creatures you control blocking that creature gain first strike until end of turn.",,,,,
Tidal Influence,"Cast Tidal Influence only if no permanents named Tidal Influence are on the battlefield.    Tidal Influence enters the battlefield with a tide counter on it.    At the beginning of your upkeep, put a tide counter on Tidal Influence.    As long as there is exactly one tide counter on Tidal Influence, all blue creatures get -2/-0.    As long as there exactly three tide counters on Tidal Influence, all blue creatures get +2/+0.    Whenever there are four or more counters on Tidal Influence, remove all tide counters from it.",,,,,
Tidal Kraken,Tidal Kraken is unblockable.,,,,,
Tidal Surge,Tap up to three target creatures without flying.,,,,,
Tidal Visionary,T: Target creature becomes the color of your choice until end of turn.,,,,,
Tidal Warrior,T: Target land becomes an Island until end of turn.,,,,,
Tidal Wave,Put a 5/5 blue Wall creature token with defender onto the battlefield.  Sacrifice it at the beginning of the next end step.,,,,,
Tide of War,"Whenever one or more creatures block, flip a coin.  If you win the flip, each blocking creature is sacrificed by its controller.  If you lose the flip, each blocked creature is sacrificed by its controller.",Mandatory,,,,
Tideforce Elemental,"U, T: You may tap or untap another target creature.    Landfall - Whenever a land enters the battlefield under your control, you may untap Tideforce Elemental.",Optional,,,,
Tidehollow Sculler,"When Tidehollow Sculler enters the battlefield, target opponent reveals his or her hand and choose a nonland card from it.  Exile that card.    When Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.",Lapsing,Mandatory,,,
Tidehollow Strix,"Flying, deathtouch",,,,,
Tideshaper Mystic,T: Target land becomes the basic land type of your choice until end of turn.  Activate this ability only during your turn.,,,,,
Tidespout Tyrant,"Flying.    Whenever you cast a spell, return target permanent to its owner's hand.",Mandatory,,,,
Tidewalker,Tidewalker enters the battlefield with a time counter on it for each Island you control.    Vanishing.    Tidewalker's power and toughness are each equal to the number of time counters on it.,Mandatory,Mandatory,,,
Tidewater Minion,Defender.    4: Tidewater Minion loses defender until end of turn.    T: Untap target permanent.,,,,,
Tidings,Draw four cards.,,,,,
Tiger Claws,"Flash, enchant creature.    Enchanted creature gets +1/+1 and has trample.",,,,,
Tigereye Cameo,T: Add G or W to your mana pool.,,,,,
Tilling Treefolk,"When Tilling Treefolk enters the battlefield, you may return up to two target land cards from your graveyard to your hand.",Optional,,,,
Timber Protector,Other Treefolk creatures you control get +1/+1.    Other Treefolk and Forests you control are indestructible.,,,,,
Timber Wolves,Banding,,,,,
Timberland Guide,"When Timberland Guide enters the battlefield, put a +1/+1 counter on target creature.",Lapsing,,,,
Timberland Ruins,"Timberland Ruins enters the battlefield tapped.    T: Add G to your mana pool.    T, Sacrifice Timberland Ruins: Add one mana of any color to your mana pool.",,,,,
Timberline Ridge,"Timberline Ridge doesn't untap during your untap step if its has a depletion counter on it.    At the beginning of your upkeep, remove a depletion counter from Timberline Ridge.    T: Add R or G to your mana pool.  Put a depletion counter on Timberline Ridge.",,,,,
Timbermare,"Haste, echo 3G.    When Timbermare enters the battlefield, tap all other creatures.",Mandatory,Mandatory,,,
Timbermaw Larva,"Whenever Timbermaw Larva attacks, it gets +1/+1 until end of turn for each Forest you control.",No visual effect,,,,
Timberwatch Elf,"T: Target creature gets +X/+X until end of turn, where X is the number of Elves on the battlefield.",,,,,
Time and Tide,"Simultaneously, all phased-out creatures phase in and all creatures with phasing phase out.",,,,,
Time Bomb,"At the beginning of your upkeep, put a time counter on Time Bomb.    1, T, Sacrifice Time Bomb: Time Bomb deals damage equal to the number of time counters on it to each creature and each player.",,,,,
Time Ebb,Put target creature on top of its owner's library.,,,,,
Time Elemental,"When Time Elemental attacks or blocks, at end of combat, sacrifice it and it deals 5 damage to you.    2UU, T: Return target permanent that isn't enchanted to its owner's hand.",,,,,
Time of Heroes,Each creature you control with a level counter on it gets +2/+2.,,,,,
Time of Need,"Search your library for a legendary creature card, reveal it, and put it into your hand.  Then shuffle your library.",,,,,
Time Reversal,"Each player shuffles his or her hand and graveyard into his or her library, then draws seven cards.  Exile Time Reversal.",,,,,
Time Sieve,"T, Sacrifice five artifacts: Take an extra turn after this one.",,,,,
Time Spiral,"Exile Time Spiral.  Each player shuffles his or her graveyard and hand into his or her library, then draws seven cards.  You may untap up to six lands.",,,,,
Time Stop,End the turn.,,,,,
Time Stretch,Target player takes two extra turns after this one.,,,,,
Time Vault,"Time Vault enters the battlefield tapped.    Time Vault doesn't untap during your untap step.    If you would begin your turn while Time Vault is tapped, you may skip that turn instead.  If you do, untap Time Vault.    T: Take an extra turn after this one.",,,,,
Time Walk,Take an extra turn after this one.,,,,,
Time Warp,Target player takes an extra turn after this one.,,,,,
Timebender,"Morph U.    When Timebender is turned face up, choose one - Remove two time counters from target permanent or suspended card; or put two time counters on target permanent with a time counter on it or suspended card.",Mandatory,,,,
Timecrafting,Choose one - Remove X time counters from target permanent or suspended card; or put X time counters on target permanent with a time counter on it or suspended card.,,,,,
Timely Reinforcements,"If you have less life than an opponent, you gain 6 life.  If you control fewer creatures than an opponent, put three 1/1 white Soldier creature tokens onto the battlefield.",,,,,
Timesifter,"At the beginning of each upkeep, each player exiles the top card of his or her library.  The player who exiled the card with the highest converted mana cost takes an extra turn after this one.  If two or more players' cards are tied for highest cost, the tied players repeat this process until the tie is broken.",Mandatory,,,,
Timetwister,"Each player shuffles his or her hand and graveyard into his or her library, then draws seven cards.",,,,,
Timid Drake,"Flying.    When another creature enters the battlefield, return Timid Drake to its owner's hand.",,,,,
Timmerian Fiends,"Remove Timmerian Fiends from your deck before playing if you're not playing for ante.    BBB, Sacrifice Timmerian Fiends: The owner of target artifact may ante the top card of his or her library.  If that player doesn't, exchange ownership of that artifact and Timmerian Fiends.  Put the artifact card in your graveyard and Timmerian Fiends from anywhere into that player's graveyard.  This change in ownership is permanent.",,,,,
Tin Street Hooligan,"When Tin Street Hooligan enters the battlefield, if G was spent to cast Tin Street Hooligan, destroy target artifact.",Lapsing,,,,
Tinder Farm,"Tinder Farm enters the battlefield tapped.    T: Add G to your mana pool.    T, Sacrifice Tinder Farm: Add RW to your mana pool.",,,,,
Tinder Wall,"Defender.    Sacrifice Tinder Wall: Add RR to your mana pool.    R, Sacrifice Tinder Wall: Tinder Wall deals 2 damage to target creature it's blocking.",,,,,
Tine Shrike,"Flying, infect",,,,,
Tinker,"As an additional cost to cast Tinker, sacrifice an artifact.    Search your library for an artifact card and put that card onto the battlefield.  Then shuffle your library.",,,,,
Tin-Wing Chimera,Flying.    Sacrifice Tin-Wing Chimera: Put a +2/+2 counter on target Chimera creature.  It gains flying.,,,,,
Tireless Missionaries,"When Tireless Missionaries enters the battlefield, you gain 3 life.",Lapsing,,,,
Tireless Tribe,Discard a card: Tireless Tribe gets +0/+4 until end of turn.,,,,,
Titan Forge,"3, T: Put a charge counter on Titan Forge.   T, Remove three charge counters from Titan Forge: Put a 9/9 colorless Golem artifact creature token onto the battlefield.",,,,,
Titania's Boon,Put a +1/+1 counter on each creature you control.,,,,,
Titania's Chosen,"Whenever a player casts a green spell, put a +1/+1 counter on Titania's Chosen.",,,,,
Titania's Song,"Each noncreature artifact loses all abilities and becomes an artifact creature with power and toughness each equal to its converted mana cost.  If Titania's Song leaves the battlefield, this effect continues until end of turn.",,,,,
Titanic Bulvox,"Trample, morph 4GGG",,,,,
Titanic Growth,Target creature gets +4/+4 until end of turn.,,,,,
Titanic Ultimatum,"Until end of turn, creatures you control get +5/+5 and gain first strike, lifelink, and trample.",,,,,
Titanium Golem,1W: Titanium Golem gains first strike until end of turn.,,,,,
Titan's Revenge,"Titan's Revenge deals X damage to target creature or player.  Clash with an opponent.  If you win, return Titan's Revenge to its owner's hand.",,,,,
Tithe,"Search your library for a Plains card.  If target opponent controls more lands than you, you may search your library for an additional Plains card.  Reveal those cards and put them into your hand.  Then shuffle your library.",,,,,
Tivadar of Thorn,"First strike, protection from red.    When Tivadar of Thorn enters the battlefield, destroy target Goblin.",Lapsing,,,,
Tivadar's Crusade,Destroy all Goblins.,,,,,
To Arms!,Untap all creatures you control.    Draw a card.,,,,,
Tobias Andrion,,,,,,
Toil to Renown,"You gain 1 life for each tapped artifact, creature, and land you control.",,,,,
Toils of Night and Day,"You may tap or untap target permanent, then you may tap or untap another target permanent.",,,,,
Tolaria,"T: Add U to your mana pool.    T: Target creature loses banding and all ""bands with other"" abilities until end of turn.  Activate this ability only during your upkeep step.",,,,,
Tolaria West,Tolaria West enters the battlefield tapped.    T: Add U to your mana pool.    Transmute 1UU,,,,,
Tolarian Academy,T: Add U to your mana pool for each artifact you control.,,,,,
Tolarian Drake,"Flying, phasing",,,,,
Tolarian Emissary,"Kicker 1W, flying.    When Tolarian Emissary enters the battlefield, if it was kicked, destroy target enchantment.",,,,,
Tolarian Entrancer,"Whenever Tolarian Entrancer becomes blocked by a creature, gain control of that creature at end of combat.",,,,,
Tolarian Sentinel,"Flying.    U, T, Discard a card: Return target permanent you control to its owner's hand.",,,,,
Tolarian Serpent,"At the beginning of your upkeep, put the top seven cards of your library into your graveyard.",,,,,
Tolarian Winds,"Discard all the cards in your hand, then draw that many cards.",,,,,
Tolsimir Wolfblood,Other green creatures you control get +1/+1.    Other white creatures you control get +1/+1.    T: Put a legendary 2/2 green and white Wolf creature token named Voja onto the battlefield.,,,,,
Tomb Hex,"Target creature gets -2/-2 until end of turn.    Landfall - If you had a land enter the battlefield under your control this turn, that creature gets -4/-4 until end of turn instead.",,,,,
Tomb of Urami,"T: Add B to your mana pool.  Tomb of Urami deals 1 damage to you if you don't control an Ogre.    2BB, T, Sacrifice all lands you control: Put a legendary 5/5 black Demon Spirit creature token with flying named Urami onto the battlefield.",,,,,
Tombfire,Target player exiles all cards with flashback from his or her graveyard.,,,,,
Tombstalker,"Flying, delve",,,,,
Tombstone Stairwell,"Cumulative upkeep 1B.    At the beginning of each upkeep, if Tombstone Stairwell is on the battlefield, each player puts a 2/2 black Zombie creature token with haste named Tombspawn onto the battlefield for each creature card in his or her graveyard.    At the beginning of each end step or when Tombstone Stairwell leaves the battlefield, destroy all tokens put onto the battlefield with Tombstone Stairwell.  They can't be regenerated.",,,,,
Tome Scour,Target player puts the top five cards of his or her library into his or her graveyard.,,,,,
"Tomorrow, Azami's Familiar","If you would draw a card, look at the top three cards of your library instead.  Put one of those cards into your hand and the rest on the bottom of your library in any order.",,,,,
Tonic Peddler,"W, T, Discard a card: Target player gains 3 life.",,,,,
Tooth and Claw,Sacrifice two creatures: Put a 3/1 red Beast creature token named Carnivore onto the battlefield.,,,,,
Tooth and Nail,"Choose one - Search your library for up to two creature cards, reveal them, put them into your hand, then shuffle your library; or put up to two target creature cards from your hand onto the battlefield.    Entwine 2",,,,,
Tooth of Chiss-Goria,"Flash, affinity for artifacts.    T: Target creature gets +1/+0 until end of turn.",,,,,
Tooth of Ramos,T: Add W to your mana pool.    Sacrifice Tooth of Ramos: Add W to your mana pool.,,,,,
Topan Ascetic,Tap an untapped creature you control: Topan Ascetic gets +1/+1 until end of turn.,,,,,
Topple,Exile target creature with the greatest power.,,,,,
Tor Giant,,,,,,
Tor Wauki,T: Tor Wauki deals 2 damage to target attacking or blocking creature.,,,,,
Torch Drake,Flying.    1R: Torch Drake gets +1/+0 until end of turn.,,,,,
Torch Fiend,"R, Sacrifice Torch Fiend: Destroy target artifact.",,,,,
Torch Slinger,"Kicker 1R.    When Torch Slinger enters the battlefield, if it was kicked, it deals 2 damage to target creature.",Lapsing,,,,
Torch Song,"At the beginning of your upkeep, you may put a verse counter on Torch Song.    2R, Sacrifice Torch Song: Torch Song deals X damage to target creature or player, where X is the number of verse counters on Torch Song.",,,,,
Torchling,R: Untap Torchling.    R: Target creature blocks Torchling this turn if able.    R: Change the target of target spell that targets only Torchling.    1: Torchling gets +1/-1 until end of turn.    1: Torchling gets -1/+1 until end of turn.,,,,,
Torii Watchward,"Vigilance, soulshift 4",Optional,,,,
Torment,Enchant creature.    Enchanted creature gets -3/-0.,,,,,
Tormented Angel,Flying,,,,,
Tormented Pariah,"At the beginning of each upkeep, if no spells were cast last turn, transform Tormented Pariah. // [Rampaging Werewolf] [Creature - Werewolf] At the beginning of each upkeep, if a player cast two or more spells last turn, transform Rampaging Werewolf. [6/4]",Mandatory,Mandatory,,,
Tormented Soul,Tormented Soul can't block and is unblockable.,,,,,
Tormentor Exarch,"When Tormentor Exarch enters the battlefield, choose one - Target creature gets +2/+0 until end of turn; or target creature gets -0/-2 until end of turn.",Lapsing,,,,
Tormentor's Trident,Equipped creature gets +3/+0 and attacks each turn if able.    Equip 3,,,,,
Tormod's Crypt,"T, Sacrifice Tormod's Crypt: Exile all cards from target player's graveyard.",,,,,
Tornado,"Cumulative upkeep G.    2G, Pay 3 life for each velocity counter on Tornado: Destroy target permanent and put a velocity counter on Tornado.  Activate this ability only once each turn.",,,,,
Tornado Elemental,"When Tornado Elemental enters the battlefield, it deals 6 damage to each creature with flying.    You may have Tornado Elemental assign its combat damage as though it weren't blocked.",No visual effect,,,,
Torpid Moloch,Defender.    Sacrifice three lands: Torpid Moloch loses defender until end of turn.,,,,,
Torpor Dust,"Flash, enchant creature.    Enchanted creature gets -3/-0.",,,,,
Torpor Orb,Creatures entering the battlefield don't cause abilities to trigger.,,,,,
Torrent of Fire,Torrent of Fire deals damage equal to the highest converted mana cost among permanents you control to target creature or player.,,,,,
Torrent of Lava,"Torrent of Lava deals X damage to each creature without flying.    As long as Torrent Lava is on the stack, each creature has ""T: Prevent the next 1 damage that would be dealt to this creature by Torrent of Lava this turn.""",,,,,
Torrent of Souls,Return up to one target creature card from your graveyard to the battlefield if B was spent to cast Torrent of Souls.  Creatures target player controls get +2/+0 and gain haste until end of turn if R was spent to cast Torrent of Souls.,,,,,
Torrent of Stone,Torrent of Stone deals 4 damage to target creature.    Splice onto Arcane - Sacrifice two Mountains,,,,,
Torsten Von Ursus,,,,,,
Tortoise Formation,Creatures you control gain shroud until end of turn.,,,,,
Torture,Enchant creature.    1B: Put a -1/-1 counter on enchanted creature.,,,,,
Torture Chamber,"At the beginning of your upkeep, put a pain counter on Torture Chamber.    At the beginning of your end step, Torture Chamber deals damage to you equal to the number of pain counters on it.    1, T, Remove all pain counters from Torture Chamber: Torture Chamber deals damage to target creature equal to the number of pain counters removed this way.",,,,,
Tortured Existence,"B, Discard a creature card: Return target creature card from your graveyard to your hand.",,,,,
Toshiro Umezawa,"Bushido 1.    Whenever a creature an opponent controls dies, you may cast target instant card from your graveyard.  If that card would be put into a graveyard this turn, exile it instead.",No visual effect,Optional,,,
Total War,"Whenever a player attacks with one or more creatures, destroy all untapped non-Wall creatures that player controls that didn't attack, except for creatures the player hasn't controlled continuously since the beginning of the turn.",,,,,
Totem Speaker,"Whenever a Beast enters the battlefield, you may gain 3 life.",,,,,
Totem-Guide Hartebeest,"When Totem-Guide Hartebeest enters the battlefield, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle your library.",Optional,,,,
Touch of Brilliance,Draw two cards.,,,,,
Touch of Darkness,Any number of target creatures become black until end of turn.,,,,,
Touch of Death,Touch of Death deals 1 damage to target player.  You gain 1 life.    Draw a card at the beginning of the next turn's upkeep.,,,,,
Touch of Invisibility,Target creature is unblockable this turn.    Draw a card.,,,,,
Touch of Vitae,"Until end of turn, target creature gains haste and ""0: Untap this creature.  Activate this ability only once.""    Draw a card at the beginning of the next turn's upkeep.",,,,,
Touchstone,T: Tap target artifact you don't control.,,,,,
Tourach's Chant,"At the beginning of your upkeep, sacrifice Tourach's Chant unless you pay B.    Whenever a player puts a Forest onto the battlefield, Tourach's Chant deals 3 damage to that player unless he or she puts a -1/-1 counter on a creature he or she controls.",,,,,
Tourach's Gate,"Enchant land you control.    Sacrifice a Thrull: Put three time counters on Tourach's Gate.    At the beginning of your upkeep, remove a time counter from Tourach's Gate.  If there are no time counters on Tourach's Gate, sacrifice it.    Tap enchanted land: Attacking creatures you control get +2/-1 until end of turn.  Activate this ability only if enchanted land is untapped.",,,,,
Tower Above,"Until end of turn, target creature gets +4/+4 and gains trample, wither, and ""When this creature attacks, target creature blocks it this turn if able.""",Lapsing,,,,
Tower Drake,Flying.    W: Tower Drake gets +0/+1 until end of turn.,,,,,
Tower Gargoyle,Flying,,,,,
Tower Geist,"Flying.    When Tower Geist enters the battlefield, look at the top two cards of your library.  Put one of them into your hand and the other into your graveyard.",Mandatory,,,,
Tower of Calamities,"8, T: Tower of Calamities deals 12 damage to target creature.",,,,,
Tower of Champions,"8, T: Target creature gets +6/+6 until end of turn.",,,,,
Tower of Coireall,T: Target creature can't be blocked by Walls this turn.,,,,,
Tower of Eons,"8, T: You gain 10 life.",,,,,
Tower of Fortunes,"8, T: You draw four cards.",,,,,
Tower of Murmurs,"8, T: Target player puts the top eight cards of his or her library into his or her graveyard.",,,,,
Tower of the Magistrate,"T: Add 1 to your mana pool.    1, T: Target creature gains protection from artifacts until end of turn.",,,,,
Towering Baloth,Morph 6G,,,,,
Town Sentry,"Whenever Town Sentry blocks, it gets +0/+2 until end of turn.",,,,,
Toxic Iguanar,Toxic Iguanar has deathtouch as long as you control a green permanent.,,,,,
Toxic Nim,Infect.    B: Regenerate Toxic Nim.,,,,,
Toxic Stench,"Target nonblack creature gets -1/-1 until end of turn.    Threshold - If seven or more cards are in your graveyard, instead destroy that creature.  It can't be regenerated.",,,,,
Toxin Sliver,"Whenever a Sliver deals combat damage to a creature, destroy that creature.  It can't be regenerated.",,,,,
Toymaker,"1, T, Discard a card: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn.",,,,,
Trace of Abundance,"Enchant land.    Enchanted land has shroud.    Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool.",No visual effect,,,,
Tracker,"GG, T: Tracker deals damage equal to its power to target creature.  That creature deals damage equal to its power to Tracker.",,,,,
Tracker's Instincts,Reveal the top four cards of your library.  Put a creature card from among them into your hand and the rest into your graveyard.    Flashback 2U,,,,,
